Bourg-en-Bresse;01;84;43454
Laon;02;32;26031
Saint-Quentin;02;32;55940
Soissons;02;32;29417
Montluçon;03;84;37417
Gap;05;93;42567
Antibes;06;93;74982
Cagnes-sur-Mer;06;93;50385
Cannes;06;93;75046
Le Cannet;06;93;42056
Grasse;06;93;51705
Menton;06;93;28942
Nice;06;93;345998
Saint-Laurent-du-Var;06;93;28831
Vallauris;06;93;26787
Charleville-Mézières;08;44;48420
Troyes;10;44;61988
Carcassonne;11;76;47418
Narbonne;11;76;55001
Rodez;12;76;25747
Aix-en-Provence;13;93;146385
Arles;13;93;53807
Aubagne;13;93;45711
La Ciotat;13;93;35758
Istres;13;93;44248
Marignane;13;93;33949
Marseille;13;93;870018
Martigues;13;93;49310
Miramas;13;93;26217
Salon-de-Provence;13;93;46225
Vitrolles;13;93;34301
Caen;14;28;108461
Aurillac;15;84;27659
Angoulême;16;75;44629
La Rochelle;17;75;78623
Saintes;17;75;26890
Bourges;18;24;67841
Vierzon;18;24;27036
Brive-la-Gaillarde;19;75;48333
Ajaccio;2A;94;70063
Bastia;2B;94;45596
Dijon;21;27;159031
Saint-Brieuc;22;53;47058
Bergerac;24;75;28166
Périgueux;24;75;31505
Besançon;25;27;120107
Montbéliard;25;27;26015
Montélimar;26;84;39924
Romans-sur-Isère;26;84;34095
Valence;26;84;64322
Évreux;27;28;51560
Chartres;28;24;40195
Dreux;28;24;31575
Brest;29;53;142629
Quimper;29;53;66743
Alès;30;76;41129
Nîmes;30;76;154196
Colomiers;31;76;39200
Muret;31;76;25961
Toulouse;31;76;482738
Tournefeuille;31;76;27008
Bègles;33;75;28092
Bordeaux;33;75;256045
Gradignan;33;75;26029
Libourne;33;75;25491
Mérignac;33;75;71203
Pessac;33;75;62737
Saint-Médard-en-Jalles;33;75;31576
Talence;33;75;44040
La Teste-de-Buch;33;75;26525
Villenave-d'Ornon;33;75;33091
Agde;34;76;28120
Béziers;34;76;77894
Lunel;34;76;26263
Montpellier;34;76;286098
Sète;34;76;44271
Rennes;35;53;222104
Saint-Malo;35;53;47528
Châteauroux;36;24;45780
Joué-lès-Tours;37;24;37974
Tours;37;24;139963
Bourgoin-Jallieu;38;84;28399
Échirolles;38;84;36143
Grenoble;38;84;160836
Saint-Martin-d'Hères;38;84;38974
Vienne;38;84;30178
Mont-de-Marsan;40;75;31517
Blois;41;24;47524
Roanne;42;84;35913
Saint-Chamond;42;84;35969
Saint-Étienne;42;84;174298
Nantes;44;52;314611
Orvault;44;52;26618
Rezé;44;52;41808
Saint-Herblain;44;52;47502
Saint-Nazaire;44;52;72295
Saint-Sébastien-sur-Loire;44;52;27591
Orléans;45;24;118102
Agen;47;75;34565
Angers;49;52;155543
Cholet;49;52;55772
Saumur;49;52;28554
Sèvremoine;49;52;26239
Cherbourg-en-Cotentin;50;28;82578
Châlons-en-Champagne;51;44;46288
Reims;51;44;187074
Saint-Dizier;52;44;25666
Laval;53;52;52359
Nancy;54;44;106953
Vandœuvre-lès-Nancy;54;44;30502
Lorient;56;53;58789
Vannes;56;53;55573
Metz;57;44;119856
Thionville;57;44;41396
Nevers;58;27;34799
